2025-04-03T05:32:51.058Z GET /logs/recent 200 4ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:32:51.062Z GET /status 304 9ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:33:21.103Z GET /status 304 8ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:33:21.124Z GET /logs/recent 200 6ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:33:51.121Z GET /logs/recent 200 5ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:33:51.125Z GET /status 304 10ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:34:21.150Z GET /logs/recent 200 4ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:34:21.154Z GET /status 304 10ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:34:51.184Z GET /logs/recent 200 4ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:34:51.189Z GET /status 304 11ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:35:21.213Z GET /logs/recent 200 4ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:35:21.218Z GET /status 304 10ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:35:51.243Z GET /logs/recent 200 5ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:35:51.248Z GET /status 304 10ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:36:21.309Z GET /logs/recent 200 4ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:36:21.317Z GET /status 304 12ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:36:51.345Z GET /logs/recent 200 5ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:36:51.349Z GET /status 304 10ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:37:21.407Z GET /logs/recent 200 4ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:37:21.411Z GET /status 304 10ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:37:51.440Z GET /logs/recent 200 5ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:37:51.444Z GET /status 304 10ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T05:38:21.476Z GET /logs/recent 200 5ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
